DateTime,Dow/Gold
1792-01-01,0.165033522434244
1793-01-01,0.182568334192883
1794-01-01,0.224342444559051
1795-01-01,0.211964930376483
1796-01-01,0.18308406395049
1797-01-01,0.16761217122228
1798-01-01,0.205776173285199
1799-01-01,0.238782877772047
1800-01-01,0.290355853532749
1801-01-01,0.178958225889634
1802-01-01,0.200618875709128
1803-01-01,0.21763795771016
1804-01-01,0.322846828261991
1805-01-01,0.329035585353275
1806-01-01,0.346054667354306
1807-01-01,0.185662712738525
1808-01-01,0.286230015471893
1809-01-01,0.345023207839092
1810-01-01,0.289324394017535
1811-01-01,0.273852501289324
1812-01-01,0.236719958741619
1813-01-01,0.260959257349149
1814-01-01,0.391463974300138
1815-01-01,0.398465703971119
1816-01-01,0.4375
1817-01-01,0.522434244455905
1818-01-01,0.568849922640536
1819-01-01,0.511603919546158
1820-01-01,0.585353274883961
1821-01-01,0.619907168643631
1822-01-01,0.598246518824136
1823-01-01,0.631768953068592
1824-01-01,0.672511603919546
1825-01-01,0.593604951005673
1826-01-01,0.586384734399175
1827-01-01,0.603919546157813
1828-01-01,0.570912841670964
1829-01-01,0.612171222279526
1830-01-01,0.709644146467251
1831-01-01,0.618875709128417
1832-01-01,0.820526044352759
1833-01-01,0.780299123259412
1834-01-01,0.85741904301595
1835-01-01,0.907684871918801
1836-01-01,0.706138231029483
1837-01-01,0.591666666666667
1838-01-01,0.541244573082489
1839-01-01,0.440424505547516
1840-01-01,0.478051133622769
1841-01-01,0.391388485728108
1842-01-01,0.315128081198647
1843-01-01,0.542815674891147
1844-01-01,0.605708756652153
1845-01-01,0.64392839864538
1846-01-01,0.630865989356555
1847-01-01,0.630865989356555
1848-01-01,0.630865989356555
1849-01-01,0.656507014997581
1850-01-01,0.845670053217223
1851-01-01,0.807934204160619
1852-01-01,1.02225447508466
1853-01-01,0.870827285921625
1854-01-01,0.622641509433962
1855-01-01,0.667634252539913
1856-01-01,0.771165940977262
1857-01-01,0.575567358763882
1858-01-01,0.478955007256894
