Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-04-30,151.14,151.14,151.14,151.14
1985-05-31,155.02,155.02,155.02,155.02
1985-06-28,155.19,155.19,155.19,155.19
1985-07-31,158.08,158.08,158.08,158.08
1985-08-30,150.71,150.71,150.71,150.71
1985-09-30,146.74,146.74,146.74,146.74
1985-10-31,146.11,146.11,146.11,146.11
1985-11-29,142.11,142.11,142.11,142.11
1985-12-31,134.95,134.95,134.95,134.95
1986-01-31,139.02,139.02,139.02,139.02
1986-02-28,136.5,136.5,136.5,136.5
1986-03-31,129.85,129.85,129.85,129.85
1986-04-30,129.54,129.54,129.54,129.54
1986-05-30,129.08,129.08,129.08,129.08
1986-06-30,131.51,131.51,131.51,131.51
1986-07-31,141.51,141.51,141.51,141.51
1986-08-29,149.84,149.84,149.84,149.84
1986-09-30,162.37,162.37,162.37,162.37
1986-10-31,183.77,183.77,183.77,183.77
1986-11-28,186.46,186.46,186.46,186.46
1986-12-31,207.2,207.2,207.2,207.2
1987-01-30,209.92,209.92,209.92,209.92
1987-02-27,208.79,208.79,208.79,208.79
1987-03-31,228.97,228.97,228.97,228.97
1987-04-30,250.19,250.19,250.19,250.19
1987-05-29,269.07,269.07,269.07,269.07
1987-06-30,299.87,299.87,299.87,299.87
1987-07-02,299,299,299,299
1987-07-03,314.22,314.22,314.22,314.22
1987-07-06,317.59,317.59,317.59,317.59
1987-07-07,321.89,321.89,321.89,321.89
1987-07-08,323.89,323.89,323.89,323.89
1987-07-09,327.8,327.8,327.8,327.8
1987-07-10,324.85,324.85,324.85,324.85
1987-07-14,343.02,343.02,343.02,343.02
1987-07-15,346.36,346.36,346.36,346.36
1987-07-16,343.6,343.6,343.6,343.6
1987-07-17,348.59,348.59,348.59,348.59
1987-07-20,352.9,352.9,352.9,352.9
1987-07-21,349.07,349.07,349.07,349.07
1987-07-22,350.74,350.74,350.74,350.74
1987-07-23,340.94,340.94,340.94,340.94
1987-07-24,341.15,341.15,341.15,341.15
1987-07-27,332.34,332.34,332.34,332.34
1987-07-28,333.3,333.3,333.3,333.3
1987-07-29,333.06,333.06,333.06,333.06
1987-07-30,327.41,327.41,327.41,327.41
1987-07-31,313.93,313.93,313.93,313.93
1987-08-03,325.26,325.26,325.26,325.26
1987-08-04,328.48,328.48,328.48,328.48
1987-08-05,327.51,327.51,327.51,327.51
1987-08-06,325.35,325.35,325.35,325.35
1987-08-07,323.65,323.65,323.65,323.65
1987-08-10,319.77,319.77,319.77,319.77
1987-08-11,318.87,318.87,318.87,318.87
1987-08-13,323.77,323.77,323.77,323.77
1987-08-14,325.58,325.58,325.58,325.58
1987-08-17,326.09,326.09,326.09,326.09
1987-08-18,326.74,326.74,326.74,326.74
1987-08-19,329.63,329.63,329.63,329.63
1987-08-20,333.69,333.69,333.69,333.69
1987-08-21,334.91,334.91,334.91,334.91
1987-08-24,338.31,338.31,338.31,338.31
1987-08-25,338.86,338.86,338.86,338.86
1987-08-26,339.03,339.03,339.03,339.03
1987-08-27,341.91,341.91,341.91,341.91
1987-08-28,346.09,346.09,346.09,346.09
1987-08-31,353.15,353.15,353.15,353.15
1987-09-01,356.41,356.41,356.41,356.41
1987-09-02,366.7,366.7,366.7,366.7
1987-09-03,366.31,366.31,366.31,366.31
1987-09-04,371.78,371.78,371.78,371.78
1987-09-07,369.79,369.79,369.79,369.79
1987-09-08,369.23,369.23,369.23,369.23
1987-09-09,373.15,373.15,373.15,373.15
1987-09-10,378.41,378.41,378.41,378.41
1987-09-11,382.01,382.01,382.01,382.01
1987-09-14,387.22,387.22,387.22,387.22
1987-09-15,391.62,391.62,391.62,391.62
1987-09-16,395.31,395.31,395.31,395.31
1987-09-17,397.66,397.66,397.66,397.66
1987-09-18,401.5,401.5,401.5,401.5
1987-09-21,406.72,406.72,406.72,406.72
1987-09-22,414.04,414.04,414.04,414.04
1987-09-23,411.6,411.6,411.6,411.6
1987-09-24,413.25,413.25,413.25,413.25
1987-09-25,416.42,416.42,416.42,416.42
1987-09-28,424.85,424.85,424.85,424.85
1987-09-29,425.05,425.05,425.05,425.05
1987-09-30,428.19,428.19,428.19,428.19
1987-10-01,436.92,436.92,436.92,436.92
1987-10-02,444.1,444.1,444.1,444.1
1987-10-05,460.12,460.12,460.12,460.12
1987-10-06,457.91,457.91,457.91,457.91
1987-10-07,453.17,453.17,453.17,453.17
1987-10-08,442.55,442.55,442.55,442.55
1987-10-09,451.09,451.09,451.09,451.09
1987-10-12,459.72,459.72,459.72,459.72
1987-10-13,465.21,465.21,465.21,465.21
1987-10-14,465.27,465.27,465.27,465.27
1987-10-15,469.73,469.73,469.73,469.73
1987-10-16,472.86,472.86,472.86,472.86
1987-10-19,459.01,459.01,459.01,459.01
1987-10-20,422.37,422.37,422.37,422.37
1987-10-21,391.44,391.44,391.44,391.44
1987-10-22,399.49,399.49,399.49,399.49
1987-10-26,368.18,368.18,368.18,368.18
1987-10-27,336.68,336.68,336.68,336.68
1987-10-28,330.8,330.8,330.8,330.8
1987-10-29,307.63,307.63,307.63,307.63
1987-10-30,299.83,299.83,299.83,299.83
1987-11-02,303.51,303.51,303.51,303.51
1987-11-03,314.4,314.4,314.4,314.4
1987-11-04,326.31,326.31,326.31,326.31
1987-11-05,324.81,324.81,324.81,324.81
1987-11-06,330.37,330.37,330.37,330.37
1987-11-09,335.48,335.48,335.48,335.48
1987-11-10,326.25,326.25,326.25,326.25
1987-11-11,313.91,313.91,313.91,313.91
1987-11-12,310.34,310.34,310.34,310.34
1987-11-13,313.81,313.81,313.81,313.81
1987-11-16,304.01,304.01,304.01,304.01
1987-11-17,294.23,294.23,294.23,294.23
1987-11-18,291.43,291.43,291.43,291.43
1987-11-19,285.92,285.92,285.92,285.92
1987-11-20,280.34,280.34,280.34,280.34
1987-11-23,290.62,290.62,290.62,290.62
1987-11-24,295.97,295.97,295.97,295.97
1987-11-25,304.21,304.21,304.21,304.21
1987-11-26,302.77,302.77,302.77,302.77
1987-11-27,299.39,299.39,299.39,299.39
1987-11-30,290.42,290.42,290.42,290.42
1987-12-01,277.92,277.92,277.92,277.92
1987-12-02,274.01,274.01,274.01,274.01
1987-12-03,261.7,261.7,261.7,261.7
1987-12-04,260.91,260.91,260.91,260.91
1987-12-08,255.78,255.78,255.78,255.78
1987-12-09,253.98,253.98,253.98,253.98
1987-12-11,243.97,243.97,243.97,243.97
1987-12-14,248.73,248.73,248.73,248.73
1987-12-15,263.11,263.11,263.11,263.11
1987-12-16,275.51,275.51,275.51,275.51
1987-12-17,268.98,268.98,268.98,268.98
1987-12-18,277.47,277.47,277.47,277.47
1987-12-21,287.31,287.31,287.31,287.31
1987-12-22,291.33,291.33,291.33,291.33
1987-12-23,286.7,286.7,286.7,286.7
1987-12-24,287.88,287.88,287.88,287.88
1987-12-25,286.77,286.77,286.77,286.77
1987-12-28,283.05,283.05,283.05,283.05
1987-12-29,284.37,284.37,284.37,284.37
1987-12-30,284.94,284.94,284.94,284.94
1988-01-04,287.71,287.71,287.71,287.71
1988-01-05,301.91,301.91,301.91,301.91
1988-01-06,315.14,315.14,315.14,315.14
1988-01-07,320.26,320.26,320.26,320.26
1988-01-08,327.37,327.37,327.37,327.37
